"Gemeente","Plaats","Postcode","Provincie","Breedtegraad (N):","Lengtegraad (E):","Netnummer","Wijken"
"'s-Gravenhage","Den Haag","2525","Zuid-Holland",52.06225112545,4.3029669141541,"070","Wijk 27 StationsbuurtWijk 29 SchildersbuurtWijk 30 TransvaalkwartierWijk 37 Groente- en Fruitmarkt"
"'s-Gravenhage","Den Haag","2526","Zuid-Holland",52.068106355855,4.3074082192211,"070","Wijk 27 StationsbuurtWijk 29 SchildersbuurtWijk 30 Transvaalkwartier"
"'s-Gravenhage","Den Haag","2531","Zuid-Holland",52.053128391037,4.3025800688881,"070","Wijk 36 Moerwijk"
"'s-Gravenhage","Den Haag","2532","Zuid-Holland",52.047657029249,4.2970252819591,"070","Wijk 36 Moerwijk"
"'s-Gravenhage","Den Haag","2533","Zuid-Holland",52.053669830558,4.2871796987519,"070","Wijk 34 MorgenstondWijk 35 ZuiderparkWijk 36 Moerwijk"
"'s-Gravenhage","Den Haag","2541","Zuid-Holland",52.045481827094,4.2772621618589,"070","Wijk 32 LeyenburgWijk 33 Bouwlust en VrederustWijk 34 Morgenstond"
"'s-Gravenhage","Den Haag","2542","Zuid-Holland",52.036461335088,4.2670184384777,"070","Wijk 33 Bouwlust en VrederustWijk 34 MorgenstondWijk 40 Wateringse Veld"
"'s-Gravenhage","Den Haag","2543","Zuid-Holland",52.039522106177,4.2601839258869,"070","Wijk 33 Bouwlust en Vrederust"
"'s-Gravenhage","Den Haag","2544","Zuid-Holland",52.040388792191,4.2510435963245,"070","Wijk 17 LoosduinenWijk 33 Bouwlust en VrederustWijk 34 Morgenstond"
"'s-Gravenhage","Den Haag","2545","Zuid-Holland",52.049293712937,4.2714581178876,"070","Wijk 17 LoosduinenWijk 32 LeyenburgWijk 33 Bouwlust en VrederustWijk 34 Morgenstond"
"'s-Gravenhage","Den Haag","2546","Zuid-Holland",52.058224508012,4.2735695178243,"070","Wijk 32 LeyenburgWijk 34 Morgenstond"
"'s-Gravenhage","Den Haag","2547","Zuid-Holland",52.061063742053,4.2663985697064,"070","Wijk 17 LoosduinenWijk 31 Rustenburg en OostbroekWijk 32 Leyenburg"
"'s-Gravenhage","Den Haag","2548","Zuid-Holland",52.029172309319,4.2903132040435,"070","Wijk 40 Wateringse Veld"
"'s-Gravenhage","Den Haag","2551","Zuid-Holland",52.059033488056,4.2372828902772,"070","Wijk 17 LoosduinenWijk 18 Waldeck"
"'s-Gravenhage","Den Haag","2552","Zuid-Holland",52.054792137479,4.2486884709939,"070","Wijk 15 Kijkduin en OckenburghWijk 16 Kraayenstein en de UithofWijk 17 LoosduinenWijk 18 WaldeckWijk 19 Vruchtenbuurt"
"'s-Gravenhage","Den Haag","2553","Zuid-Holland",52.04471228739,4.2225207039075,"070","Wijk 15 Kijkduin en OckenburghWijk 16 Kraayenstein en de UithofWijk 17 LoosduinenWijk 18 Waldeck"
"'s-Gravenhage","Den Haag","2554","Zuid-Holland",52.06720759889,4.2114305177936,"070","Wijk 14 Bohemen en Meer en BosWijk 15 Kijkduin en Ockenburgh"
"'s-Gravenhage","Den Haag","2555","Zuid-Holland",52.060126894583,4.222685195975,"070","Wijk 14 Bohemen en Meer en BosWijk 15 Kijkduin en OckenburghWijk 18 WaldeckWijk 19 Vruchtenbuurt"
"'s-Gravenhage","Den Haag","2561","Zuid-Holland",52.075660091999,4.2787464556365,"070","Wijk 12 Bomen- en BloemenbuurtWijk 20 ValkenboskwartierWijk 21 Regentessekwartier"
"'s-Gravenhage","Den Haag","2562","Zuid-Holland",52.0749278588,4.2819629574248,"070","Wijk 12 Bomen- en BloemenbuurtWijk 20 ValkenboskwartierWijk 21 Regentessekwartier"
"'s-Gravenhage","Den Haag","2563","Zuid-Holland",52.072641194556,4.2710745126344,"070","Wijk 11 DuinoordWijk 12 Bomen- en BloemenbuurtWijk 19 VruchtenbuurtWijk 20 ValkenboskwartierWijk 21 Regentessekwartier"
"'s-Gravenhage","Den Haag","2564","Zuid-Holland",52.068019974328,4.2577169310735,"070","Wijk 12 Bomen- en BloemenbuurtWijk 14 Bohemen en Meer en BosWijk 18 WaldeckWijk 19 VruchtenbuurtWijk 20 Valkenboskwartier"
"'s-Gravenhage","Den Haag","2565","Zuid-Holland",52.07569832506,4.2593067077063,"070","Wijk 12 Bomen- en BloemenbuurtWijk 14 Bohemen en Meer en BosWijk 20 Valkenboskwartier"
"'s-Gravenhage","Den Haag","2566","Zuid-Holland",52.083379963568,4.2420169081932,"070","Wijk 12 Bomen- en BloemenbuurtWijk 13 VogelwijkWijk 14 Bohemen en Meer en BosWijk 15 Kijkduin en OckenburghWijk 18 Waldeck"
"'s-Gravenhage","Den Haag","2571","Zuid-Holland",52.069712461104,4.2877990418418,"070","Wijk 20 ValkenboskwartierWijk 21 RegentessekwartierWijk 29 SchildersbuurtWijk 30 TransvaalkwartierWijk 31 Rustenburg en OostbroekWijk 32 LeyenburgWijk 37 Groente- en Fruitmarkt"
"'s-Gravenhage","Den Haag","2572","Zuid-Holland",52.064379077706,4.2935987688468,"070","Wijk 30 TransvaalkwartierWijk 37 Groente- en Fruitmarkt"
"'s-Gravenhage","Den Haag","2573","Zuid-Holland",52.065281756284,4.284174268201,"070","Wijk 31 Rustenburg en Oostbroek"
"'s-Gravenhage","Den Haag","2574","Zuid-Holland",52.063804898682,4.2777264344892,"070","Wijk 31 Rustenburg en OostbroekWijk 32 Leyenburg"
"'s-Gravenhage","Den Haag","2581","Zuid-Holland",52.09128230185,4.2699304261061,"070","Wijk 09 Geuzen- en Statenkwartier"
"'s-Gravenhage","Den Haag","2582","Zuid-Holland",52.093487191209,4.2767273276683,"070","Wijk 09 Geuzen- en StatenkwartierWijk 11 Duinoord"
"'s-Gravenhage","Den Haag","2583","Zuid-Holland",52.095205559323,4.254870170768,"070","Wijk 07 ScheveningenWijk 08 DuindorpWijk 09 Geuzen- en StatenkwartierWijk 13 Vogelwijk"
"'s-Gravenhage","Den Haag","2584","Zuid-Holland",52.102502558611,4.2791262060825,"070","Wijk 06 Van Stolkpark en Scheveningse BosjesWijk 07 ScheveningenWijk 09 Geuzen- en Statenkwartier"
"'s-Gravenhage","Den Haag","2585","Zuid-Holland",52.094728010514,4.2968291890178,"070","Wijk 05 ArchipelbuurtWijk 06 Van Stolkpark en Scheveningse BosjesWijk 07 ScheveningenWijk 23 Willemspark"
"'s-Gravenhage","Den Haag","2586","Zuid-Holland",52.121056893211,4.2822583034964,"070","Wijk 02 Belgisch ParkWijk 07 Scheveningen"
"'s-Gravenhage","Den Haag","2587","Zuid-Holland",52.109931026378,4.2928990588802,"070","Wijk 02 Belgisch ParkWijk 03 Westbroekpark en DuttendelWijk 07 Scheveningen"
"'s-Gravenhage","Den Haag","2591","Zuid-Holland",52.093630075316,4.3643136043681,"070","Wijk 25 Mariahoeve en Marlot"
"'s-Gravenhage","Den Haag","2592","Zuid-Holland",52.09093713927,4.3542638457145,"070","Wijk 25 Mariahoeve en Marlot"
"'s-Gravenhage","Den Haag","2593","Zuid-Holland",52.085949676052,4.3425259335492,"070","Wijk 26 Bezuidenhout"
"'s-Gravenhage","Den Haag","2594","Zuid-Holland",52.093472908083,4.3413822352236,"070","Wijk 24 Haagse BosWijk 25 Mariahoeve en MarlotWijk 26 BezuidenhoutWijk 27 Stationsbuurt"
"'s-Gravenhage","Den Haag","2595","Zuid-Holland",52.080788027211,4.3340119007953,"070","Wijk 26 BezuidenhoutWijk 27 Stationsbuurt"
"'s-Gravenhage","Den Haag","2596","Zuid-Holland",52.092450781441,4.3187306685477,"070","Wijk 04 BenoordenhoutWijk 24 Haagse Bos"
"'s-Gravenhage","Den Haag","2597","Zuid-Holland",52.110662976988,4.3172008625506,"070","Wijk 01 OostduinenWijk 02 Belgisch ParkWijk 03 Westbroekpark en DuttendelWijk 04 BenoordenhoutWijk 00 Zuidwestelijk deel der gemeente"
